9.SSID: eduroam, BSSID: 00:17:df:a7:e8:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2437
10.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -73, frequency: 2462
11.SSID: mops, BSSID: 00:17:df:a7:e8:df, capabilities: [ESS], level: -78, frequency: 5680
12.SSID: mops, BSSID: 00:17:df:a7:e8:d0, capabilities: [ESS], level: -79, frequency: 2437
13.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -79, frequency: 2412
14.SSID: mops, BSSID: d0:c2:82:b6:73:ff, capabilities: [ESS], level: -93, frequency: 5260
Time passed (ms): 1363695185746
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -72, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2412
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -63, frequency: 2437
6.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2437
7.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -63, frequency: 2462
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 5680
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5560
10.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2417
11.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -79, frequency: 5680
12.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -92, frequency: 5560
Time passed (ms): 1363695185771
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -72, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2412
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -63, frequency: 2437
6.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2437
7.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -63, frequency: 2462
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 5680
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5560
10.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2417
11.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -79, frequency: 5680
12.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -92, frequency: 5560
Time passed (ms): 1363695189202
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -69, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2412
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 2437
6.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -70, frequency: 2462
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 5680
8.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2417
9.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -78, frequency: 5680
10.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2417
11.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -79, frequency: 2412
12.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -85, frequency: 2417
Time passed (ms): 1363695189221
