1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5260
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2462
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -67, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5680
7.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -90, frequency: 5680
8.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -73, frequency: 2462
9.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
10.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -86, frequency: 2412
11.SSID: mops, BSSID: 00:21:a0:10:22:d0, capabilities: [ESS], level: -86, frequency: 2437
Time passed (ms): 1363695507378
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5260
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2462
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -67, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5680
7.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -90, frequency: 5680
8.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -73, frequency: 2462
9.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
10.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -86, frequency: 2412
11.SSID: mops, BSSID: 00:21:a0:10:22:d0, capabilities: [ESS], level: -86, frequency: 2437
Time passed (ms): 1363695510818
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 5260
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
