9.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5680
10.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
Time passed (ms): 1363695903113
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -79, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -66, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -70, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
7.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -88, frequency: 2412
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5680
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2462
10.SSID: mops, BSSID: 00:17:df:a7:e5:8f, capabilities: [ESS], level: -91, frequency: 5680
Time passed (ms): 1363695903125
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -79, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -66, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 2437
5.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -70, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
7.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -88, frequency: 2412
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5680
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2462
10.SSID: mops, BSSID: 00:17:df:a7:e5:8f, capabilities: [ESS], level: -91, frequency: 5680
Time passed (ms): 1363695906553
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -80, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -66, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2412
6.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -81, frequency: 2412
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
8.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5560
10.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -91, frequency: 5560
Time passed (ms): 1363695906573
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -80, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -66, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2412
6.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -81, frequency: 2412
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
8.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5560
10.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -91, frequency: 5560
Time passed (ms): 1363695910116
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -84, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -67, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -64, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2412
6.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -83, frequency: 2412
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
8.SSID: eduroam, BSSID: 00:17:df:a7:e5:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5680
Time passed (ms): 1363695910124
1.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -84, frequency: 2462
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -67, frequency: 5260
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -64, frequency: 2437
