1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -52, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -51, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -72, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2412
Time passed (ms): 1362828871084
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -52, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -51, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -72, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2412
Time passed (ms): 1362828874510
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -59, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -59, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -62, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5560
7.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -79, frequency: 2412
8.SSID: mops, BSSID: 00:17:df:a7:e5:8e, capabilities: [ESS], level: -87, frequency: 5560
Time passed (ms): 1362828874531
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -59, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -59, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -62, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2412
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5560
7.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -79, frequency: 2412
8.SSID: mops, BSSID: 00:17:df:a7:e5:8e, capabilities: [ESS], level: -87, frequency: 5560
Time passed (ms): 1362828878004
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -62, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 2437
4.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -94, frequency: 5280
Time passed (ms): 1362828878031
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -62, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -62, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 2437
4.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -94, frequency: 5280
Time passed (ms): 1362828881469
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -77, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2437
4.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -90, frequency: 5280
5.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
6.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:7d, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5660
8.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:bf:00, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -94, frequency: 2462
9.SSID: mops, BSSID: 00:21:a0:10:22:d1, capabilities: [ESS], level: -86, frequency: 2412
10.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -86, frequency: 2437
11.SSID: mops, BSSID: 00:17:df:a7:f4:7e, capabilities: [ESS], level: -91, frequency: 5660
12.SSID: bergundtal, BSSID: 00:0d:28:b7:49:c0, capabilities: [ESS], level: -87, frequency: 2412
Time passed (ms): 1362828881473
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -77, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2437
4.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -90, frequency: 5280
5.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
6.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:7d, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5660
8.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:bf:00, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -94, frequency: 2462
9.SSID: mops, BSSID: 00:21:a0:10:22:d1, capabilities: [ESS], level: -86, frequency: 2412
10.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -86, frequency: 2437
11.SSID: mops, BSSID: 00:17:df:a7:f4:7e, capabilities: [ESS], level: -91, frequency: 5660
12.SSID: bergundtal, BSSID: 00:0d:28:b7:49:c0, capabilities: [ESS], level: -87, frequency: 2412
Time passed (ms): 1362828884961
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -86, frequency: 5240
3.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -82, frequency: 5280
4.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 2412
5.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 5280
6.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:bf:00, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -83, frequency: 2462
7.SSID: mops, BSSID: 00:21:a0:10:22:d1, capabilities: [ESS], level: -79, frequency: 2412
8.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:be:fc, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -93, frequency: 5180
9.SSID: mops, BSSID: 00:17:df:a7:f2:1e, capabilities: [ESS], level: -90, frequency: 5180
10.SSID: mops, BSSID: 00:17:df:a7:f4:71, capabilities: [ESS], level: -88, frequency: 2437
Time passed (ms): 1362828884996
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -86, frequency: 5240
3.SSID: mops, BSSID: 00:21:a0:10:22:de, capabilities: [ESS], level: -82, frequency: 5280
4.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 2412
5.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 5280
6.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:bf:00, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -83, frequency: 2462
7.SSID: mops, BSSID: 00:21:a0:10:22:d1, capabilities: [ESS], level: -79, frequency: 2412
8.SSID: KQOBOOUHMNYQMYNFFPIU, BSSID: 24:65:11:db:be:fc, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS], level: -93, frequency: 5180
9.SSID: mops, BSSID: 00:17:df:a7:f2:1e, capabilities: [ESS], level: -90, frequency: 5180
10.SSID: mops, BSSID: 00:17:df:a7:f4:71, capabilities: [ESS], level: -88, frequency: 2437
Time passed (ms): 1362828888428
