2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -88, frequency: 5500
5.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -75, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 2437
7.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -87, frequency: 2412
Time passed (ms): 1362829265543
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -71, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -88, frequency: 5500
5.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -75, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 2437
7.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -87, frequency: 2412
Time passed (ms): 1362829268980
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -70, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 5500
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -86, frequency: 5500
5.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -69, frequency: 2437
6.SSID: mops, BSSID: 00:17:df:a7:e5:81, capabilities: [ESS], level: -88, frequency: 2412
Time passed (ms): 1362829268996
1.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -70, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 5240
